DH	INJV	Xt	Mt	XMt	NDH
202.57595	12	0	0.212	0.98381	680.15025
201.76288	12	0.20683	0.21023	1.97582	677.42035
196.68497	12	0.41192	0.20848	2.97603	660.37123
191.28374	12	0.61527	0.20674	3.98443	642.23655
187.56221	12	0.81689	0.20502	5.00104	629.7415
181.78223	12	1.01677	0.20331	6.02584	610.33517
178.13664	12	1.21491	0.20162	7.05884	598.09509
173.54637	12	1.41131	0.19993	8.10004	582.6832
169.34695	12	1.60597	0.19827	9.14944	568.58362
165.08122	12	1.7989	0.19661	10.20703	554.26141
161.22998	12	1.99008	0.19497	11.27283	541.33085
156.61235	12	2.17953	0.19334	12.34682	525.82713
153.34093	12	2.36724	0.19173	13.42901	514.8433
149.44573	12	2.55322	0.19013	14.5194	501.76513
145.07341	12	2.73745	0.18854	15.61799	487.08504
140.81594	12	2.91995	0.18696	16.72477	472.79054
138.45646	12	3.10071	0.1854	17.83976	464.86859
133.34537	12	3.27973	0.18384	18.96294	447.70808
130.78849	12	3.45701	0.1823	20.09432	439.12331
129.7153	12	3.63256	0.18078	21.2339	435.52009
	--	3.80636	0.17926	--	
