time	cp
2	0.09421
4	0.09114
6	0.08755
8	0.08348
10	0.08014
12	0.07834
14	0.0759
16	0.07419
18	0.07146
20	0.06704
22	0.0631
24	0.06192
26	0.05989
28	0.05598
30	0.0533
32	0.05097
34	0.04693
36	0.04365
38	0.04175
40	0.03893
42	0.03606
44	0.03332
46	0.03017
48	0.02748
50	0.02487
52	0.02085
54	0.01794
56	0.01614
58	0.01354
60	0.00991
62	0.007
64	0.00472
66	0.00198
68	-7.06892E-4
70	-0.00384
72	-0.00616
74	-0.0066
76	-0.00607
78	-0.00684
80	-0.00608
82	-0.00445
84	-0.00492
86	-0.00524
88	-0.00486
90	-0.00355
92	-0.00272
94	-0.0037
96	-0.00334
98	-0.00225
100	-0.00273
102	-0.00157
104	-9.65663E-4
106	-5.21747E-4
108	0.00105
110	0.00223
112	0.0021
114	2.41917E-4
116	-0.00187
118	-0.00146
120	-8.41335E-4
122	-1.03419E-4
124	-3.70503E-4
126	-0.01038
128	-0.04189
130	-0.08933
132	-0.14643
134	-0.20588
136	-0.2653
138	-0.32089
140	-0.37316
142	-0.41931
144	-0.45939
146	-0.49545
148	-0.52634
150	-0.55209
152	-0.57508
154	-0.58527
156	-0.5767
158	-0.55382
160	-0.52151
162	-0.48403
164	-0.44508
166	-0.41048
168	-0.37873
170	-0.34882
172	-0.32298
174	-0.2994
176	-0.2782
178	-0.26029
180	-0.24508
182	-0.23094
184	-0.21853
186	-0.20741
188	-0.19731
190	-0.18913
192	-0.18138
194	-0.17498
196	-0.16871
198	-0.16351
200	-0.1588
202	-0.15394
204	-0.15017
206	-0.14433
208	-0.13904
210	-0.13384
212	-0.13043
214	-0.12833
216	-0.12541
218	-0.12101
220	-0.11788
222	-0.11446
224	-0.11076
226	-0.10936
228	-0.10878
230	-0.10618
232	-0.10379
234	-0.10422
236	-0.10308
238	-0.10002
240	-0.09854
242	-0.09661
244	-0.09417
246	-0.09198
248	-0.08998
250	-0.0874
252	-0.08553
254	-0.08622
256	-0.0849
258	-0.0819
260	-0.08105
262	-0.08057
264	-0.07992
266	-0.08036
268	-0.08034
270	-0.07803
272	-0.07729
274	-0.07608
276	-0.07494
278	-0.07471
280	-0.07391
282	-0.07315
284	-0.07126
286	-0.07084
288	-0.06937
290	-0.06857
292	-0.06878
294	-0.06808
296	-0.06753
298	-0.06658
300	-0.06721
302	-0.06705
304	-0.06532
306	-0.06366
308	-0.06314
310	-0.0622
312	-0.06189
314	-0.06108
316	-0.05967
318	-0.0595
320	-0.0595
322	-0.05757
324	-0.05614
326	-0.05574
328	-0.05606
330	-0.0556
332	-0.05464
334	-0.05518
336	-0.05516
338	-0.05528
340	-0.05431
342	-0.05381
344	-0.0523
346	-0.05351
348	-0.05365
350	-0.05324
352	-0.0537
354	-0.05186
356	-0.05087
358	-0.0504
360	-0.05029
362	-0.04884
364	-0.04805
366	-0.04803
368	-0.04665
370	-0.04462
372	-0.04479
374	-0.04444
376	-0.0427
378	-0.04258
380	-0.04248
382	-0.04396
384	-0.04269
386	-0.04158
388	-0.04198
390	-0.04231
392	-0.04215
394	-0.04208
396	-0.04068
398	-0.03948
400	-0.03808
402	-0.03822
404	-0.03883
406	-0.03947
408	-0.03894
410	-0.03863
412	-0.03724
414	-0.036
416	-0.03608
418	-0.03686
420	-0.03751
422	-0.03868
424	-0.04065
426	-0.04116
428	-0.04152
430	-0.04376
432	-0.04401
434	-0.04463
436	-0.04622
438	-0.04928
440	-0.05128
442	-0.05248
444	-0.05194
446	-0.05184
448	-0.05225
450	-0.05277
452	-0.05227
454	-0.05077
456	-0.05106
458	-0.05229
460	-0.05349
462	-0.05289
464	-0.05206
466	-0.05078
468	-0.05012
470	-0.04954
472	-0.04893
474	-0.04819
476	-0.04694
478	-0.04652
480	-0.04674
482	-0.04536
484	-0.04489
486	-0.044
488	-0.04339
490	-0.04153
492	-0.04155
494	-0.04271
496	-0.04259
498	-0.04055
500	-0.0386
502	-0.03783
504	-0.0378
506	-0.03666
508	-0.03523
510	-0.03412
512	-0.03457
514	-0.0349
516	-0.03535
518	-0.03454
520	-0.0324
522	-0.03106
524	-0.03121
526	-0.03062
528	-0.02965
530	-0.02851
532	-0.02823
534	-0.0282
536	-0.02847
538	-0.02867
540	-0.02757
542	-0.02576
544	-0.02421
546	-0.02429
548	-0.02379
550	-0.02317
552	-0.02365
554	-0.02356
556	-0.02348
558	-0.0233
560	-0.02233
562	-0.02209
564	-0.02251
566	-0.02211
568	-0.02167
570	-0.0221
572	-0.02249
574	-0.02173
576	-0.02162
578	-0.02222
580	-0.02217
582	-0.02221
584	-0.02124
586	-0.0209
588	-0.01991
590	-0.01918
592	-0.02027
594	-0.01939
596	-0.01841
598	-0.01861
600	-0.01936
602	-0.01935
604	-0.01932
606	-0.01852
608	-0.0178
610	-0.01732
612	-0.01715
614	-0.01592
616	-0.01517
618	-0.01508
620	-0.01528
622	-0.01775
624	-0.0178
626	-0.01743
628	-0.01789
630	-0.01842
632	-0.01734
634	-0.01651
636	-0.01595
638	-0.01444
640	-0.01399
642	-0.0139
644	-0.0128
646	-0.01234
648	-0.0122
650	-0.0124
652	-0.01269
654	-0.01239
656	-0.01102
658	-0.01036
660	-0.01121
662	-0.01083
664	-0.01098
666	-0.01061
668	-0.01089
670	-0.01198
672	-0.01078
674	-0.00761
676	-0.00718
678	-0.00788
680	-0.00797
682	-0.00674
684	-0.00474
686	-0.00375
688	-0.00451
690	-0.00454
692	-0.0042
694	-0.00316
696	-0.00189
698	-0.0013
700	-2.26148E-5
702	8.83718E-4
704	0.00149
706	0.0027
708	0.00276
710	0.00417
712	0.0052
714	0.00469
716	0.0056
718	0.00524
720	0.00645
722	0.00759
724	0.00729
726	-0.0062
728	-0.03893
730	-0.08517
732	-0.13612
734	-0.1874
736	-0.23561
738	-0.28094
740	-0.32142
742	-0.35803
744	-0.38861
746	-0.41484
748	-0.44
750	-0.46046
752	-0.47743
754	-0.4877
756	-0.48044
758	-0.45953
760	-0.43087
762	-0.39709
764	-0.36469
766	-0.33383
768	-0.30544
770	-0.27912
772	-0.25579
774	-0.23535
776	-0.21739
778	-0.20133
780	-0.18769
782	-0.17495
784	-0.16349
786	-0.15362
788	-0.1457
790	-0.13745
792	-0.13173
794	-0.12602
796	-0.11977
798	-0.11404
800	-0.11047
802	-0.10582
804	-0.1027
806	-0.09921
808	-0.09592
810	-0.09263
812	-0.08863
814	-0.08491
816	-0.0811
818	-0.07885
820	-0.07564
822	-0.0734
824	-0.07133
826	-0.06943
828	-0.06641
830	-0.064
832	-0.06342
834	-0.06253
836	-0.06181
838	-0.06011
840	-0.05914
842	-0.05885
844	-0.05824
846	-0.05784
848	-0.05588
850	-0.0545
852	-0.0529
854	-0.05172
856	-0.05106
858	-0.05032
860	-0.04904
862	-0.04766
864	-0.0482
866	-0.04934
868	-0.04991
870	-0.04778
872	-0.04606
874	-0.04539
876	-0.04501
878	-0.04537
880	-0.04533
882	-0.04483
884	-0.0437
886	-0.04214
888	-0.04238
890	-0.04213
892	-0.04296
894	-0.04325
896	-0.0419
898	-0.0406
900	-0.04058
902	-0.04006
904	-0.03904
906	-0.03915
908	-0.04068
910	-0.04222
912	-0.04074
914	-0.04023
916	-0.03875
918	-0.038
920	-0.037
922	-0.03618
924	-0.03548
926	-0.03433
928	-0.03353
930	-0.03187
932	-0.03356
934	-0.0344
936	-0.03405
938	-0.03375
940	-0.03315
942	-0.03346
944	-0.03323
946	-0.03277
948	-0.03404
950	-0.03356
952	-0.03368
954	-0.03334
956	-0.03255
958	-0.03136
960	-0.03117
962	-0.03033
964	-0.03055
966	-0.03107
968	-0.03185
970	-0.03283
972	-0.03284
974	-0.03274
976	-0.03358
978	-0.03252
980	-0.0321
982	-0.03202
984	-0.0311
986	-0.02937
988	-0.02915
990	-0.02982
992	-0.02999
994	-0.02964
996	-0.02863
998	-0.02735
1000	-0.02672
1002	-0.02607
1004	-0.0268
1006	-0.02687
1008	-0.02675
1010	-0.02754
1012	-0.02854
1014	-0.02963
1016	-0.02894
1018	-0.02841
1020	-0.02763
1022	-0.02814
1024	-0.02829
1026	-0.02719
1028	-0.02647
1030	-0.02667
1032	-0.02734
1034	-0.02749
1036	-0.02671
1038	-0.02715
1040	-0.02608
1042	-0.02374
1044	-0.02306
1046	-0.0227
1048	-0.02171
1050	-0.02052
1052	-0.02067
1054	-0.02187
1056	-0.02312
1058	-0.02355
1060	-0.02133
1062	-0.01961
1064	-0.01916
1066	-0.02003
1068	-0.02071
1070	-0.0219
1072	-0.02064
1074	-0.02061
1076	-0.02025
1078	-0.02114
1080	-0.02081
1082	-0.01956
1084	-0.01966
1086	-0.01956
1088	-0.01812
1090	-0.01861
1092	-0.01931
1094	-0.01839
1096	-0.01701
1098	-0.0184
1100	-0.01897
1102	-0.0197
1104	-0.01863
1106	-0.01717
1108	-0.01825
1110	-0.01932
1112	-0.01902
1114	-0.02025
1116	-0.02098
1118	-0.02014
1120	-0.0198
1122	-0.01963
1124	-0.01923
1126	-0.01775
1128	-0.01754
1130	-0.01751
1132	-0.01637
1134	-0.01724
1136	-0.01665
